アンケートID：cc26cfef-78ce-4e5c-a8f3-bbde3e443a2f
アンケートタイトル：【複数回ご利用のお客様向け】ネットde診断に関するアンケート
アンケート期間：2024/06/26 18:00 ～ 2028/12/31 18:00
回答ID,セッションID,回答日時,IP,Agent,回答1,回答2,回答3,回答4,回答5,回答6,回答7,回答8,回答9,回答10,回答11,回答12,回答13,回答14,回答15,ドメイン名,プロキシID
740,50953099-b0b1-4b6e-62a7-95ed4b84302b,2024/07/18 17:12,10.31.145.102,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/126.0.0.0 safari/537.36",法人利用,10回以上,いいえ,"法人用Webサイト,今回、はじめて利用",,診断結果を見ていないため分からない,診断後に表示されるポップアップから,「お名前.com Navi」に表示されるポップアップ誘導から,ご自身のWebサイトのセキュリティ状況を確認するため,セキュリティ状況が一目で分かること,利用したい,月に1回,1000,いいえ,"診断に関しては、AIChatポットを活用できればありがたい
"
611,fd855629-2590-24a1-75ff-7a467a166883,2024/07/18 13:17,10.31.145.102,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/126.0.0.0 safari/537.36",法人利用,無い（診断結果を見たことが無い）,いいえ,法人用Webサイト,,診断結果を見ていないため分からない,診断結果が契約されたメールから,「ネットde診断」の特設ページ(LP)から,「簡単」との表記があったため,診断結果を見ていないため分からない,どちらかと言えば利用したい,週に1回,100,いいえ,まだ結果を見ていないためわかりません
3468,f5106fb3-f1b4-8192-6cc9-09b278aeaba2,2024/07/24 10:17,10.31.145.94,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/126.0.0.0 safari/537.36 edg/126.0.0.0",法人利用,無い（診断結果を見たことが無い）,いいえ,,,診断結果を見ていないため分からない,診断後に表示されるポップアップから,「お名前.com Navi」に表示されるポップアップ誘導から,ご自身のWebサイトのセキュリティ状況を確認するため,診断結果を見ていないため分からない,どちらかと言えば利用したい,月に1回,200,いいえ,SPFの設定をもっとわかりやすくしてほしい
10697,2249cf6d-1909-a6b1-2b84-200e83d2d623,2024/08/16 17:06,10.31.145.99,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/127.0.0.0 safari/537.36",個人利用,無い（診断結果を見たことが無い）,いいえ,個人用Webサイト,セキュリティにかけられる時間が無い,満足,,お名前.comから届くメールマガジンから,「簡単」との表記があったため,対策方法が記載されていること,どちらかと言えば利用したくない,毎日,0,いいえ,特になし
11387,7305aa8b-ce58-38f1-6d99-68c7b8f21a25,2024/08/19 10:46,10.31.145.197,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/127.0.0.0 safari/537.36",法人利用,1回,いいえ,法人用Webサイト,"セキュリティにかけられる時間が無い,セキュリティにかけられるコストが無い",満足,診断後に表示されるポップアップから,「お名前.com Navi」に表示されるポップアップ誘導から,,セキュリティ状況が一目で分かること,利用したい,週に1回,100円,いいえ,特になし
9520,dfea5b3c-82a4-7382-ddc8-c88e408d1ceb,2024/08/12 02:56,10.31.145.197,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/127.0.0.0 safari/537.36",個人利用,1回,はい,個人用Webサイト,セキュリティについてよく分からない,大変満足,診断後に表示されるポップアップから,「お名前.com Navi」に表示されるポップアップ誘導から,ご自身のWebサイトのセキュリティ状況を確認するため,セキュリティ状況が一目で分かること,利用したい,月に1回,100,いいえ,特になし
14068,e171aa62-54da-1313-1722-2ce4d754922e,2024/08/22 20:03,10.31.145.138,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/124.0.0.0 safari/537.36",個人利用,無い（診断結果を見たことが無い）,いいえ,個人用Webサイト,,大変満足,診断後に表示されるポップアップから,「お名前.com Navi」に表示されるポップアップ誘導から,ご自身のWebサイトのセキュリティ状況を確認するため,セキュリティ状況が一目で分かること,利用したい,月に1回,100,いいえ,なし
7557,9c88ade5-c233-1559-b116-ccda5aee888c,2024/08/04 21:40,10.31.145.210,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/127.0.0.0 safari/537.36",法人利用,無い（診断結果を見たことが無い）,いいえ,個人用Webサイト,,診断結果を見ていないため分からない,診断後に表示されるポップアップから,「お名前.com Navi」に表示されるポップアップ誘導から,ご自身のWebサイトのセキュリティ状況を確認するため,診断結果を見ていないため分からない,どちらかと言えば利用したい,月に1回,100,いいえ,まだよくわからない
7182,71533709-7209-d2ed-416b-ec5dfd748bb7,2024/08/03 00:00,10.31.145.125,"mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/605.1.15 (khtml, like gecko) version/17.5 safari/605.1.15",法人利用,無い（診断結果を見たことが無い）,いいえ,法人用Webサイト,,診断結果を見ていないため分からない,診断後に表示されるポップアップから,「お名前.com Navi」に表示されるポップアップ誘導から,ご自身のWebサイトのセキュリティ状況を確認するため,セキュリティ状況が一目で分かること,利用したい,月に1回,1,いいえ,"?
"
4078,e7d58128-2e91-53ac-1bda-595271377f6a,2024/07/25 15:14,10.31.145.209,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/126.0.0.0 safari/537.36",法人利用,無い（診断結果を見たことが無い）,いいえ,法人用Webサイト,,あまり満足していない,診断後に表示されるポップアップから,「ネットde診断」の特設ページ(LP)から,ご自身のWebサイトのセキュリティ状況を確認するため,簡単で始めやすいこと,利用したい,月に1回,0,はい,無料で実施して欲しい
